Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,Total Peajes,Eficiencia (km/l),TipoUnidad,Ruta Frecuente,Ruta
1897,1716572.9,34563072.808817,20.604986999999998,7498908,46184.36,4.615239601394896,0.0,4.368534537624356,Alta actividad,"JILOTEPEC,EM → JILOTEPEC,EM","JILOTEPEC,EM → JILOTEPEC,EM"
1898,1212204.0,24589413.65908,20.844212882352938,4716378,47637.98,5.2237228735864685,0.0,3.8907461120405475,Alta actividad,"JILOTEPEC,EM → JILOTEPEC,EM","JILOTEPEC,EM → JILOTEPEC,EM"
1899,1224447.0,24426329.63421,20.329158235294123,4837809,74209.93000000001,5.0643875283645965,0.0,3.951015437989558,Alta actividad,"JILOTEPEC,EM → JILOTEPEC,EM","JILOTEPEC,EM → JILOTEPEC,EM"
1900,788049.32,15576309.42252,20.079320333333342,2191695,87505.84,7.146895559153989,0.0,2.7811647626318616,Actividad media,"JILOTEPEC,EM → JILOTEPEC,EM","JILOTEPEC,EM → JILOTEPEC,EM"
1901,1038640.5,21423196.086428,20.82422630188678,4986664,88954.46999999999,4.313936242030343,0.0,4.801145343359901,Alta actividad,"TULTITLAN,EM → MERIDA,YC/","TULTITLAN,EM → MERIDA,YC/"
1902,835073.35,17177343.626644,20.628864964912285,4037367,72113.91,4.27245220378628,0.0,4.834745355003845,Alta actividad,"ECATEPEC DE MORELO,EM → TULTITLAN,EM","ECATEPEC DE MORELO,EM → TULTITLAN,EM"
1903,19654148.73,387318956.46515375,20.07962663157895,9165448,14954.199999999999,42.2602267412519,0.0,0.4663365544807292,Alta actividad,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ","TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ"
1904,452663.68,8823244.36608,19.51454100000001,1475880,27802.24,5.997131613735534,0.0,3.2604338832751063,Actividad media,"CUAUTITLAN,EM → GUADALAJARA,JA","CUAUTITLAN,EM → GUADALAJARA,JA"
1905,710473.6,14186476.64088,20.07480884615384,1866969,100.0,7.598721050472718,0.0,2.6277809618823276,Actividad media,"CUAUTITLAN IZCALLI,EM → TEPATITLAN,JA","CUAUTITLAN IZCALLI,EM → TEPATITLAN,JA"
1906,779777.74,15218412.749604,19.511289978723408,2348637,27284.100000000002,6.491295525704483,0.0,3.0119313228920848,Actividad media,"CUAUTITLAN IZCALLI,EM → TEPATITLAN,JA","CUAUTITLAN IZCALLI,EM → TEPATITLAN,JA"
1907,2590840.86,52150113.234387,20.265716632352937,6912540,78155.15,7.555582808112069,0.0,2.6680681576096497,Alta actividad,"CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/","CUAUTITLAN IZCALLI,EM/Mex → VILLAHERMOSA,TA/"
1908,3677150.9699999997,72096071.425351,19.606679253731343,5794830,72976.29999999999,12.454040537056478,0.0,1.5759021175026708,Alta actividad,"CUAUTITLAN IZCALLI,EM/Mex → SAN PEDRO GARZA GA,NX/Mex","CUAUTITLAN IZCALLI,EM/Mex → SAN PEDRO GARZA GA,NX/Mex"
1909,4427858.61,90743315.186895,21.397839868852458,5692215,43597.310000000005,15.949311910547124,0.0,1.2855457911742127,Alta actividad,"JILOTEPEC,EM → LA PAZ,BS/","JILOTEPEC,EM → LA PAZ,BS/"
1910,269647.2,2747710.728,10.167692307692308,351598,19960.29,7.871691585276367,0.0,1.3039186017878175,Poca actividad,"CUAUTITLAN IZCALLI,EM → QUERETARO,QA","CUAUTITLAN IZCALLI,EM → QUERETARO,QA"
1912,2493952.0,26560588.8,10.65,1993920,22304.0,13.331975605841759,0.0,0.7995021556148635,Actividad media,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
1916,228930.0,2438104.5,10.65,193746,53471.299999999996,12.860011561529012,0.0,0.8463110994627179,Poca actividad,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
1917,2078004.805,21056769.09836,10.120816326530612,3985954,18337.55,5.287343167623108,0.0,1.9181639957757461,Alta actividad,"CUAUTITLAN IZCALLI,EM → QUERETARO,QA","CUAUTITLAN IZCALLI,EM → QUERETARO,QA"
1918,770909.262,7983828.5744,10.360727272727273,1295745,38646.5,6.19139959976693,0.0,1.6808009241430024,Actividad media,"CUAUTITLAN IZCALLI,EM → QUERETARO,QA","CUAUTITLAN IZCALLI,EM → QUERETARO,QA"
1919,1808825.68,19354092.8832,10.677540983606558,1796999,14689.88,10.778404864554739,0.0,0.9934616806192181,Actividad media,"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM","CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM"
